Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,State,Country,Date first added,CIK,Founded,2019_july_1,2019_october_1,2020_january_2,2020_april_1,2020_june_30
CAT,Caterpillar Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,Deerfield,Illinois,United States of America,,0000018230,1925,134.96,124.38,146.62,111.07,125.25
CBOE,Cboe Global Markets,reports,Financials,Financial Exchanges & Data,Chicago,Illinois,United States of America,2017-03-01,0001374310,,103.39,114.2,118.93,86.1,92.81
CBRE,CBRE Group,reports,Real Estate,Real Estate Services,Los Angeles,California,United States of America,2006-11-10,0001138118,,52.0,53.08,61.9,35.54,44.24
CDW,CDW,reports,Information Technology,Technology Distributors,Lincolnshire,Illinois,United States of America,2019-09-23,0001402057,1984,111.64,122.31,143.58,89.01,114.0
CE,Celanese,reports,Materials,Specialty Chemicals,Irving,Texas,United States of America,2018-12-24,0001306830,1918,106.51,120.22,122.23,69.35,85.39
CNC,Centene Corporation,reports,Health Care,Managed Health Care,St Louis,Missouri,United States of America,2016-03-30,0001071739,,53.05,43.5,62.98,56.36,62.59
CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities,Houston,Texas,United States of America,1985-07-31,0001130310,,27.44,29.26,26.8,14.32,18.62
CTL,CenturyLink Inc,reports,Communication Services,Alternative Carriers,Monroe,Louisiana,United States of America,1999-03-25,0000018926,,10.96,11.74,12.75,8.4,9.79
CERN,Cerner,reports,Health Care,Health Care Technology,North Kansas City,Missouri,United States of America,2010-04-30,0000804753,,72.84,67.83,73.05,60.56,67.94
CF,CF Industries Holdings Inc,reports,Materials,Fertilizers & Agricultural Chemicals,Deerfield,Illinois,United States of America,2008-08-27,0001324404,,45.32,48.16,47.26,25.59,27.55
SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,San Francisco,California,United States of America,1997-06-02,0000316709,,40.17,39.29,47.33,31.66,32.75
CHTR,Charter Communications,reports,Communication Services,Cable & Satellite,Stamford,Connecticut,United States of America,2016-09-08,0001091667,,400.0,412.53,487.41,418.3,509.22
CVX,Chevron Corp.,reports,Energy,Integrated Oil & Gas,San Ramon,California,United States of America,,0000093410,1879,119.7,115.05,117.69,68.5,87.67
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,Newport Beach,California,United States of America,2011-04-28,0001058090,,738.43,845.08,839.97,630.02,1045.95
CB,Chubb Limited,reports,Financials,Property & Casualty Insurance,Zurich,Zurich,Switzerland,2010-07-15,0000896159,,145.01,158.87,153.75,105.31,125.7
CHD,Church & Dwight,reports,Consumer Staples,Household Products,Ewing,New Jersey,United States of America,2015-12-29,0000313927,,72.32,74.19,69.93,62.59,76.72
CI,CIGNA Corp.,reports,Health Care,Managed Health Care,Bloomfield,Connecticut,United States of America,1976-06-30,0000701221,,158.89,152.93,205.35,169.72,187.55
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,Fairfield,Ohio,United States of America,1997-12-18,0000020286,,101.67,114.26,103.8,71.24,63.75
CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,Mason,Ohio,United States of America,2001-03-01,0000723254,1929,237.69,265.95,269.86,165.44,263.61
CSCO,Cisco Systems,reports,Information Technology,Communications Equipment,San Jose,California,United States of America,1993-12-01,0000858877,,53.18,48.08,47.24,37.52,45.79
C,Citigroup Inc.,reports,Financials,Diversified Banks,New York,New York,United States of America,1988-05-31,0000831001,,68.64,67.9,78.77,38.73,50.29
CFG,Citizens Financial Group,reports,Financials,Regional Banks,Providence,Rhode Island,United States of America,2016-01-29,0000759944,,34.13,34.35,39.6,17.18,23.53
CTXS,Citrix Systems,reports,Information Technology,Application Software,Fort Lauderdale,Florida,United States of America,1999-12-01,0000877890,,98.19,96.1,110.96,138.61,144.82
CLX,The Clorox Company,reports,Consumer Staples,Household Products,Oakland,California,United States of America,1969-03-31,0000021076,1913,149.87,149.54,151.52,170.93,217.58
CME,CME Group Inc.,reports,Financials,Financial Exchanges & Data,Chicago,Illinois,United States of America,2006-08-11,0001156375,,190.12,206.25,199.43,163.74,162.01
CMS,CMS Energy,reports,Utilities,Multi-Utilities,Jackson,Michigan,United States of America,1999-05-03,0000811156,,56.29,62.54,62.02,56.21,57.55
KO,Coca-Cola Company,reports,Consumer Staples,Soft Drinks,Atlanta,Georgia,United States of America,,0000021344,1886,49.44,53.17,54.35,42.1,44.36
CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,Teaneck,New Jersey,United States of America,2006-11-17,0001058290,,63.59,59.77,61.84,44.5,56.49
