Country,Estimated number of road traffic deaths,"Estimated road traffic death rate (per 100,000 population)",Number of registered vehicles,Drivers/passengers of 4-wheeled vehicles (%),Drivers/passengers of motorized 2- or 3-wheelers (%),Cyclists (%),Pedestrians (%),Other/unspecified road users (%),GDP(US$)
Italy,3333.0,5.6,52581575.0,42.8,25.6,7.3,17.6,6.7,32747.0
Jamaica,391.0,13.6,541316.0,33.0,28.8,8.4,22.2,7.7,5130.0
Japan,5224.0,4.1,81602046.0,32.4,17.2,15.1,35.0,1.0,38220.0
Jordan,2306.0,24.4,1502420.0,71.3,0.0,0.0,28.7,0.0,4196.0
Kazakhstan,3158.0,17.6,4383120.0,59.8,4.3,1.7,30.9,3.3,8756.0
Kenya,13463.0,27.8,2979910.0,36.4,24.2,2.4,37.0,0.0,1508.0
Kiribati,5.0,4.4,3706.0,40.0,20.0,0.0,40.0,0.0,1694.0
Kuwait,715.0,17.6,2001940.0,,,,,,28897.0
Kyrgyzstan,916.0,15.4,993000.0,27.6,2.1,0.2,40.0,30.0,1251.0
Laos,1120.0,16.6,1850020.0,,,,,,2457.0
Latvia,184.0,9.3,803628.0,44.9,12.0,4.4,34.8,3.8,15625.0
Lebanon,1090.0,18.1,1866407.0,42.4,20.7,,37.0,0.0,8778.0
Lesotho,638.0,28.9,,,,,,,1178.0
Liberia,1657.0,35.9,1085075.0,,,,,,584.0
Libya,1645.0,26.1,3553497.0,75.0,1.9,2.3,20.8,0.0,3942.0
Lithuania,234.0,8.0,1391568.0,46.4,5.7,8.9,38.0,1.0,16450.0
Luxembourg,36.0,6.3,466472.0,62.5,9.4,3.1,25.0,0.0,106806.0
Madagascar,7108.0,28.6,236979.0,52.9,,,47.1,0.0,517.0
Malawi,5601.0,31.0,,31.1,3.2,16.0,49.6,0.1,340.0
Malaysia,7374.0,23.6,27613120.0,,,,,,9951.0
Maldives,4.0,0.9,92983.0,0.0,75.0,0.0,25.0,0.0,11151.0
Mali,4159.0,23.1,344345.0,27.9,42.3,2.4,11.5,15.9,822.0
Malta,26.0,6.1,358947.0,18.2,40.9,4.5,27.3,9.1,29137.0
Mauritania,1064.0,24.7,,,,,,,1129.0
Mauritius,173.0,13.7,507676.0,16.7,45.8,6.9,30.6,0.0,10565.0
Mexico,16725.0,13.1,40205671.0,18.4,9.6,1.1,28.5,42.4,8967.0
Micronesia,2.0,1.9,5673.0,50.0,0.0,0.0,50.0,0.0,3188.0
Mongolia,499.0,16.5,841537.0,39.3,18.6,1.2,28.7,12.2,3620.0
Montenegro,67.0,10.7,211219.0,64.6,15.4,1.5,13.8,4.6,6958.0
Morocco,6917.0,19.6,3791469.0,31.2,28.7,5.9,26.3,7.9,3070.0
Mozambique,8665.0,30.1,698864.0,,,,,,426.0
Myanmar,10540.0,19.9,6381136.0,10.8,64.8,3.1,14.2,7.1,1257.0
Namibia,754.0,30.4,371281.0,,,,,,5227.0
Nepal,4622.0,15.9,2339169.0,,,,,,849.0
Netherlands,648.0,3.8,10757655.0,38.0,21.4,29.8,9.2,1.6,48754.0
New Zealand,364.0,7.8,3656300.0,68.5,15.9,1.5,7.6,6.4,42936.0
Niger,5414.0,26.2,436420.0,,,,,,378.0
Nigeria,39802.0,21.4,11733425.0,49.6,,,,,1969.0
